"Txhash","UnixTimestamp","DateTime","From","To","Value","ContractAddress","TokenName","TokenSymbol"
"0x15c18c1977768588222ba3595c651fe14090eadf487dc3c7f4414d9ce42361d7","1575435887","12/4/2019 5:04:47 AM","0x512b9ad4764cc18f6ce414d0df2ecc00fe9481ee","0x493c57c4763932315a328269e1adad09653b9081","2,077.162813939404860733","0x6b175474e89094c44da98b954eedeac495271d0f","Dai Stablecoin","DAI"
"0x29d164dc62c37032361f63d4b00e84d3f27da79399b8a4f92008304e1ebd216f","1574888130","11/27/2019 8:55:30 PM","0xadff3ada12ed0f8a87e31e5a04dfd2ee054e1118","0x512b9ad4764cc18f6ce414d0df2ecc00fe9481ee","10","0x493c57c4763932315a328269e1adad09653b9081","Fulcrum DAI iToken","iDAI"
"0x29d164dc62c37032361f63d4b00e84d3f27da79399b8a4f92008304e1ebd216f","1574888130","11/27/2019 8:55:30 PM","0x493c57c4763932315a328269e1adad09653b9081","0x512b9ad4764cc18f6ce414d0df2ecc00fe9481ee","10.00204539755457305","0x6b175474e89094c44da98b954eedeac495271d0f","Dai Stablecoin","DAI"
"0x29d164dc62c37032361f63d4b00e84d3f27da79399b8a4f92008304e1ebd216f","1574888130","11/27/2019 8:55:30 PM","0xad37fd42185ba63009177058208dd1be4b136e6b","0x512b9ad4764cc18f6ce414d0df2ecc00fe9481ee","10.00204539755457305","0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359","Sai Stablecoin v1.0","SAI"
"0x330a1aa0d3066521f9cdc47f9e05b3c8b27acb1cf3132d2be002eef1db01a423","1574892482","11/27/2019 10:08:02 PM","0xadff3ada12ed0f8a87e31e5a04dfd2ee054e1118","0x512b9ad4764cc18f6ce414d0df2ecc00fe9481ee","9.692740956058678228","0x14094949152eddbfcd073717200da82fed8dc960","Fulcrum SAI iToken","iSAI"
"0x330a1aa0d3066521f9cdc47f9e05b3c8b27acb1cf3132d2be002eef1db01a423","1574892482","11/27/2019 10:08:02 PM","0x14094949152eddbfcd073717200da82fed8dc960","0x512b9ad4764cc18f6ce414d0df2ecc00fe9481ee","10.002118670690653739","0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359","Sai Stablecoin v1.0","SAI"
"0x330a1aa0d3066521f9cdc47f9e05b3c8b27acb1cf3132d2be002eef1db01a423","1574892482","11/27/2019 10:08:02 PM","0x0000000000000000000000000000000000000000","0x512b9ad4764cc18f6ce414d0df2ecc00fe9481ee","10.002118670690653739","0x6b175474e89094c44da98b954eedeac495271d0f","Dai Stablecoin","DAI"
"0x8e4f8f7d41669af2c85b8381d94dcc44657edca386081814bb6256458e511cc7","1574894609","11/27/2019 10:43:29 PM","0x71ce21a0776df966052cac4fe98d18313dd3c214","0x512b9ad4764cc18f6ce414d0df2ecc00fe9481ee","0.15058782931887531","0x493c57c4763932315a328269e1adad09653b9081","Fulcrum DAI iToken","iDAI"
"0x8e4f8f7d41669af2c85b8381d94dcc44657edca386081814bb6256458e511cc7","1574894609","11/27/2019 10:43:29 PM","0x493c57c4763932315a328269e1adad09653b9081","0x512b9ad4764cc18f6ce414d0df2ecc00fe9481ee","0.150619125167751428","0x6b175474e89094c44da98b954eedeac495271d0f","Dai Stablecoin","DAI"
"0x8e4f8f7d41669af2c85b8381d94dcc44657edca386081814bb6256458e511cc7","1574894609","11/27/2019 10:43:29 PM","0xad37fd42185ba63009177058208dd1be4b136e6b","0x512b9ad4764cc18f6ce414d0df2ecc00fe9481ee","0.150619125167751428","0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359","Sai Stablecoin v1.0","SAI"
"0xacef4c0a642abd0d47a08d6ee73b023dadbe348cd2eaed99b582b640a9c965bd","1574894988","11/27/2019 10:49:48 PM","0xc96265c36f6d77747f9c259946a1ef55fce946b7","0x512b9ad4764cc18f6ce414d0df2ecc00fe9481ee","19.780523489797782352","0x14094949152eddbfcd073717200da82fed8dc960","Fulcrum SAI iToken","iSAI"
"0xacef4c0a642abd0d47a08d6ee73b023dadbe348cd2eaed99b582b640a9c965bd","1574894988","11/27/2019 10:49:48 PM","0x14094949152eddbfcd073717200da82fed8dc960","0x512b9ad4764cc18f6ce414d0df2ecc00fe9481ee","20.41197316818335512","0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359","Sai Stablecoin v1.0","SAI"
"0xacef4c0a642abd0d47a08d6ee73b023dadbe348cd2eaed99b582b640a9c965bd","1574894988","11/27/2019 10:49:48 PM","0x0000000000000000000000000000000000000000","0x512b9ad4764cc18f6ce414d0df2ecc00fe9481ee","20.41197316818335512","0x6b175474e89094c44da98b954eedeac495271d0f","Dai Stablecoin","DAI"
"0x31040fcf67e28dbaac1670afa22df410b0a11398cfb9a2a1eebd72a337182cfa","1574952020","11/28/2019 2:40:20 PM","0xd18a54f89603fe4301b29ef6a8ab11b9ba24f139","0x512b9ad4764cc18f6ce414d0df2ecc00fe9481ee","56.728940867893481569","0x14094949152eddbfcd073717200da82fed8dc960","Fulcrum SAI iToken","iSAI"
"0x31040fcf67e28dbaac1670afa22df410b0a11398cfb9a2a1eebd72a337182cfa","1574952020","11/28/2019 2:40:20 PM","0x14094949152eddbfcd073717200da82fed8dc960","0x512b9ad4764cc18f6ce414d0df2ecc00fe9481ee","58.545253144805665984","0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359","Sai Stablecoin v1.0","SAI"
"0x31040fcf67e28dbaac1670afa22df410b0a11398cfb9a2a1eebd72a337182cfa","1574952020","11/28/2019 2:40:20 PM","0x0000000000000000000000000000000000000000","0x512b9ad4764cc18f6ce414d0df2ecc00fe9481ee","58.545253144805665984","0x6b175474e89094c44da98b954eedeac495271d0f","Dai Stablecoin","DAI"
